#{"t_start": 1770597841.356516, "env_id": "AdroitHandRelocate-v1"}
r,l,t,success,lifted,dist_to_target
48.9,100,247.222716,False,False,0.1306166331508778
48.8,100,252.159293,False,False,0.3471997645238031
48.3,100,255.927334,False,False,0.1568886379101491
47.0,100,260.208905,False,False,0.3528749237999496
46.9,100,265.867069,False,False,0.1755824015139722
47.0,100,271.118663,False,False,0.21032903794564267
48.4,100,275.913914,False,False,0.3600200357557979
44.9,100,279.291442,False,False,0.306630449588796
29.7,100,282.727387,False,False,0.19737972443536356
38.0,100,285.975472,False,False,0.38402829788067544
24.3,100,291.731402,False,False,0.48715451202520005
48.5,100,295.214829,False,False,0.41622269453698946
-130.1,100,298.312131,False,False,0.8887655938513851
47.6,100,300.960499,False,False,0.39963285775351176
48.2,100,304.554956,False,False,0.40308460194509216
48.6,100,308.438272,False,False,0.3551575473773134
34.3,100,311.873117,False,False,0.16903470197580822
-58.5,100,314.336581,False,False,1.536236746203207
-161.6,100,318.171495,False,False,1.5524196061545992
57.3,19,319.024212,True,False,0.09954007769359895
32.4,100,323.591569,False,False,0.11628303531804887
31.9,100,327.725737,False,False,0.3176549360625043
41.0,100,333.357815,False,False,0.2360020670905364
41.9,100,338.28708,False,False,0.12415309323993959
39.5,100,343.425373,False,False,0.15567323034213842
63.531189,100,348.72084,False,False,1.3229595199953554
34.3,100,355.035804,False,False,0.21870225167530694
37.2,100,361.519105,False,False,0.2704765286386421
39.4,100,367.15515,False,False,0.22187764639552573
76.6,74,371.026091,True,False,0.09694567568724878
42.9,100,377.123406,False,False,0.1216624035962076
33.6,100,386.380012,False,False,0.16022801939461315
42.3,100,391.568434,False,False,0.1384162112005609
22.6,100,397.435431,False,False,0.2635754985484624
37.3,100,402.376728,False,False,0.1526259871093168
41.8,100,407.099169,False,False,0.19532326367032113
44.3,100,411.455809,False,False,0.12177367842050003
46.4,100,415.495819,False,False,0.1961664405363884
-216.428209,100,420.021813,False,False,1.7916522198229479
42.5,100,426.47946,False,False,0.1549622576018824
-18.4,100,431.199457,False,False,1.3314215073286753
46.1,100,436.301305,False,False,0.3789502941262302
37.9,100,439.710172,False,False,0.22642594224992452
31.9,100,443.648851,False,False,0.13611671663950758
45.2,100,449.048932,False,False,0.3572097387421621
36.7,100,453.476694,False,False,0.2953020612996031
30.4,100,458.123876,False,False,0.34627785735868716
-14.5,100,462.37152,False,False,1.0094267923690625
-91.2,100,467.0804,False,False,0.9163249274211819
28.1,100,471.409482,False,False,0.4516843009287149
28.2,100,476.082822,False,False,0.6062237963293423
36.3,100,483.229018,False,False,0.40025192405092636
39.6,100,487.958042,False,False,0.45497455381871255
49.0,100,492.806522,False,False,0.3065522305600306
38.2,100,499.177871,False,False,0.15838526105151898
38.4,100,504.025486,False,False,0.29586616042457
37.8,100,509.219766,False,False,0.17537192845410696
-127.102789,100,514.288981,False,False,1.0506211430898007
-254.17007,100,518.873087,False,False,2.2996523266801048
37.4,100,523.53546,False,False,0.2920552068977505
122.215271,63,526.55093,True,False,0.09969956647074688
-37.4,100,532.072965,False,False,1.1509962238708882
115.496226,100,537.3802,False,False,0.18705433550123649
95.34374,100,541.191024,False,False,0.30539829346610853
33.5,100,545.169599,False,False,0.2947749492892919
33.7,100,548.635667,False,False,0.31493888443696016
46.465486,100,552.221713,False,False,0.3111092629331204
33.3,100,556.337841,False,False,0.3546067100186563
34.2,100,561.741486,False,False,0.5662545482805283
47.3,100,566.483239,False,False,0.167006065629506
47.2,100,571.331319,False,False,0.12079101206522569
46.9,100,578.834433,False,False,0.13768573105215157
46.6,100,584.037049,False,False,0.3760808614505764
46.0,100,589.143575,False,False,0.254812231476255
47.1,100,593.798457,False,False,0.13051120453988008
46.2,100,598.186983,False,False,0.1569621285550514
48.5,100,602.588398,False,False,0.22270779415023864
48.5,100,607.250535,False,False,0.39159182828209776
-155.2,100,611.466028,False,False,2.1952957613037625
-11.8,100,615.184522,False,False,1.2394897788956454
48.2,100,619.688923,False,False,0.28145389651186165
48.2,100,623.43095,False,False,0.1555275460525868
38.3,100,627.323724,False,False,0.25341718269971547
28.2,100,631.205851,False,False,0.5575350712594694
76.181813,20,632.169663,True,True,0.0936438151888595
43.219996,100,636.047083,False,False,1.2949156033430342
36.8,100,639.592404,False,False,0.297321914357347
40.3,100,642.689773,False,False,0.17828288251029337
31.9,100,646.130343,False,False,0.20090787650807107
46.7,100,649.623333,False,False,0.12844254002610048
38.4,100,653.25519,False,False,0.40024565657617855
-159.4,100,656.25528,False,False,1.688106946087328
43.6,100,660.434191,False,False,0.1754295647463827
45.4,100,663.211787,False,False,0.15080521102563557
44.8,100,667.297192,False,False,0.3175140348689493
44.1,100,670.513011,False,False,0.31303631532221965
44.8,100,674.089975,False,False,0.35331341619572076
45.5,100,677.120957,False,False,0.38235236603748424
36.3,100,681.089257,False,False,0.3280301274514055
45.6,100,684.418384,False,False,0.17976127318053964
34.8,100,687.748228,False,False,0.3013074261567988
46.8,100,690.796044,False,False,0.13146903218035041
32.6,100,693.544764,False,False,0.4983847267751389
-223.0,100,696.878577,False,False,2.264987104567899
32.3,100,699.942554,False,False,0.16745305471154293
33.7,100,703.837309,False,False,0.4256632193110455
-173.8,100,707.170403,False,False,1.6664702298106246
26.0,100,710.452071,False,False,0.4417481590871235
32.4,100,714.156216,False,False,0.156367164033423
38.9,100,717.401099,False,False,0.39508700442232014
34.4,100,720.269974,False,False,0.29019517115860943
-246.3,100,723.399972,False,False,1.7392643042766014
-188.8,100,728.011567,False,False,1.472588176398691
23.8,100,731.019906,False,False,0.5548215697081813
40.7,100,734.257532,False,False,0.2602707827054811
36.8,100,737.081094,False,False,0.32439212932467226
-1.7,100,740.39361,False,False,0.7411365152733432
21.9,100,743.690934,False,False,0.49731299080470837
24.2,100,746.799535,False,False,0.6233574443468491
25.3,100,749.731152,False,False,0.7001297621159466
24.9,100,753.594213,False,False,0.2219530241655459
-194.1,100,757.140704,False,False,3.6532243161885023
55.5,18,757.729158,True,False,0.09562757989781344
-241.1,100,761.204132,False,False,1.8061084259718714
-176.643225,100,764.41954,False,False,1.3617552658654883
-56.6,100,768.228794,False,False,0.7094397327541301
131.074708,100,771.949527,False,False,0.5237722883160668
-73.181659,100,775.6998,False,False,2.3089139857629717
41.6,100,779.065374,False,False,0.1394698929151527
41.7,100,782.409578,False,False,0.12285550278267632
23.2,100,785.568756,False,False,0.4973262763837709
46.3,100,789.298705,False,False,0.16563929595710603
46.8,100,792.518508,False,False,0.3710091161583862
44.2,100,799.580924,False,False,0.20201368727120617
2.8,100,803.500772,False,False,1.3711699591876612
30.6,100,808.001258,False,False,0.49502457015140694
62.86474,100,812.930353,False,False,0.8076709097834107
-78.2,100,816.860963,False,False,1.5983659672884751
-224.4,100,821.141906,False,False,1.7130858492019085
25.3,100,826.098408,False,False,0.3721176761058667
34.4,100,830.75824,False,False,0.12202345053767176
-60.3,100,834.91597,False,False,1.3630472261414892
16.8,100,838.994905,False,False,0.39048823507448616
29.0,100,842.30006,False,False,0.1279847067664318
-53.4,100,845.41788,False,False,0.7437778488127399
36.0,100,849.677457,False,False,0.5192545609396051
-35.5,100,854.223772,False,False,1.2224221324405882
-250.4,100,859.576031,False,False,1.5043360766478255
36.9,100,865.535741,False,False,0.1641110293785731
68.665601,100,870.153896,False,False,0.2904777573104656
21.7,100,874.160508,False,False,0.23435902688275995
-207.0,100,881.035942,False,False,2.7244481557690543
55.8,25,882.609819,True,False,0.0999015669654164
37.5,100,892.516814,False,False,0.12080365496639295
185.552631,100,898.317611,False,False,0.180267131256112
185.601669,100,904.876398,False,False,0.19495798348194684
131.812501,100,909.593003,False,False,0.8571762008096068
-69.617763,100,914.432183,False,False,1.7006349952445738
36.0,100,918.259639,False,False,0.347776273839809
29.2,100,923.014482,False,False,0.3190451973540395
182.596746,100,926.563804,False,False,0.46944076460283096
35.2,100,930.203458,False,False,0.14892074053798438
31.9,100,933.487933,False,False,0.15900978240249258
36.0,100,936.815588,False,False,0.1910620638604207
35.7,100,939.970245,False,False,0.3118257586938876
41.6,100,943.624286,False,False,0.27323529771972316
26.4,100,947.566108,False,False,0.185333098404938
27.3,100,952.144369,False,False,0.26143426800651837
35.3,100,955.981444,False,False,0.3011939822984531
23.3,100,960.970028,False,False,0.19532802385463596
35.8,100,966.23554,False,False,0.33077208900499977
43.7,100,970.634609,False,False,0.37870775171719434
29.4,100,975.699664,False,False,0.44565324916237453
44.3,100,986.005692,False,False,0.36720066971171117
43.2,100,991.808771,False,False,0.2550516562698153
27.0,100,997.014631,False,False,0.1641044539747686
30.5,100,1003.26719,False,False,0.32470781738905424
32.5,100,1010.106421,False,False,0.2201048636347183
32.7,100,1017.510727,False,False,0.3600112727788516
35.6,100,1023.94565,False,False,0.16920923542268743
31.8,100,1029.61947,False,False,0.2933284619827443
19.4,100,1036.214585,False,False,0.3649085940190124
26.4,100,1042.124295,False,False,0.23228842944614797
33.4,100,1048.31694,False,False,0.24919112303501498
38.5,100,1054.453468,False,False,0.23500285387106198
44.7,100,1060.063919,False,False,0.15590437458081824
32.4,100,1065.125282,False,False,0.3389951273464287
44.3,100,1070.14556,False,False,0.18605291090349535
44.8,100,1075.287554,False,False,0.257881178659504
23.4,100,1079.958623,False,False,0.19165201876024393
23.1,100,1084.302127,False,False,0.2365639928848864
21.5,100,1087.964324,False,False,0.2774679706958744
21.4,100,1090.953216,False,False,0.22960986388623664
21.0,100,1096.166898,False,False,0.5358025872716179
25.4,100,1100.028814,False,False,0.5394176623824941
63.14234,100,1103.90738,False,False,0.303030980863216
194.119803,100,1108.403248,False,False,0.4470375694468636
23.6,100,1112.840756,False,False,0.3750355342924584
26.8,100,1117.476584,False,False,0.35738921059715434
18.9,100,1121.791544,False,False,0.4518989464555455
39.8,100,1126.410881,False,False,0.19908790965511916
24.8,100,1131.106355,False,False,0.24932112996733696
27.8,100,1135.569006,False,False,0.34223187339327754
-56.152566,100,1139.304259,False,False,1.5000151510947892
26.0,100,1143.344363,False,False,0.21637525109785638
28.8,100,1147.020144,False,False,0.16332978756061073
40.1,100,1150.565559,False,False,0.29005744878467843
44.9,100,1154.065815,False,False,0.25146796439048147
23.9,100,1158.261451,False,False,0.1683647874828525
26.9,100,1162.425253,False,False,0.3865484915787263
45.2,100,1166.443993,False,False,0.27164482367332604
41.5,100,1170.265964,False,False,0.38972324730226887
-256.1,100,1174.891388,False,False,1.709949211554124
45.8,100,1180.454349,False,False,0.18508298272179644
35.5,100,1184.242319,False,False,0.28341039370504434
29.9,100,1187.868743,False,False,0.1404922208273894
43.6,100,1191.786878,False,False,0.14767322643020594
-2.1,100,1195.512659,False,False,0.717808805001413
42.7,100,1199.020925,False,False,0.18222166707847393
32.1,100,1202.010246,False,False,0.17404252426269434
43.0,100,1205.156577,False,False,0.1475110243185963
-5.408609,100,1207.875746,False,False,0.6949893574499878
24.2,100,1210.374653,False,False,0.593260979750154
32.6,100,1212.779502,False,False,0.16221084481620152
39.0,100,1215.230929,False,False,0.17766762276635845
31.4,100,1218.449702,False,False,0.20784692393614573
46.9,100,1221.689018,False,False,0.16669057975476995
34.2,100,1224.372315,False,False,0.13346217593924192
27.7,100,1227.452387,False,False,0.20258901940361146
48.6,100,1230.680591,False,False,0.4054306889637401
39.6,100,1234.14345,False,False,0.1941879023918734
41.9,100,1237.068357,False,False,0.6093715433453665
47.8,100,1239.767245,False,False,0.3074114040562233
-35.6,100,1243.459689,False,False,1.0119731413326976
38.5,100,1246.102341,False,False,0.40686707401304445
41.2,100,1249.00414,False,False,0.19548585623490747
-120.571844,100,1251.65016,False,False,1.3861054131484525
39.2,100,1254.578842,False,False,0.11850101241324738
31.1,100,1257.326086,False,False,0.17914739678928934
39.9,100,1261.941682,False,False,0.3688969807243654
-49.3,100,1264.769917,False,False,1.0585553797828258
