#{"t_start": 1770629432.379544, "env_id": "AdroitHandRelocate-v1"}
r,l,t
37.6,100,2.109707
35.4,100,2.198963
34.8,100,2.283369
21.3,100,2.3646
39.6,100,2.452902
28.7,100,2.53693
34.5,100,2.757987
36.4,100,2.868201
18.4,100,2.958057
37.0,100,3.045826
44.8,100,4.337068
30.0,100,5.349638
33.1,100,6.39201
31.1,100,7.277297
32.3,100,8.073032
35.0,100,8.873101
-349.3,100,9.686809
-311.3,100,10.535414
90.967125,20,10.728795
21.5,100,11.63113
-320.1,100,12.870477
40.3,100,13.76088
-349.9,100,14.63025
17.9,100,15.449156
21.4,100,16.272348
37.6,100,17.117568
40.4,100,17.932307
12.2,100,18.689839
-312.0,100,19.444711
54.0,12,19.551099
79.162314,15,19.691972
-207.402933,100,20.566164
37.6,100,21.405539
37.3,100,22.250307
37.1,100,23.094622
40.4,100,23.961615
39.3,100,24.868775
37.0,100,25.76205
36.5,100,26.636902
42.0,100,27.49698
45.3,100,28.331628
-343.2,100,29.189868
246.106873,100,30.399802
364.425355,100,31.207745
-225.903591,100,31.973541
-364.2,100,32.763425
-338.4,100,33.545826
-335.2,100,34.400623
98.607045,14,34.531826
86.305769,12,34.652198
66.804315,9,34.735063
-86.153388,100,35.564672
-202.443156,100,36.4267
36.9,100,37.229277
37.9,100,38.091191
37.5,100,38.910652
38.5,100,39.689217
36.8,100,40.577757
37.2,100,41.455945
37.7,100,42.264878
37.0,100,43.148238
37.3,100,43.92124
35.2,100,44.706367
29.3,100,45.487566
21.1,100,46.28777
86.7077,18,46.43383
22.8,100,47.5661
28.7,100,48.370346
71.606701,100,49.17304
106.728352,100,49.942708
20.2,100,50.726675
-275.3,100,51.526518
-175.227696,100,52.296345
53.6,23,52.486898
21.9,100,53.285237
11.2,100,54.046836
27.9,100,54.90759
17.6,100,55.711202
14.9,100,56.510484
52.7,10,56.600652
-205.695622,100,57.360084
15.2,100,58.160545
65.175741,11,58.242836
17.8,100,59.028318
77.93691,13,59.146733
11.8,100,59.948088
14.2,100,60.724887
22.9,100,61.493298
37.1,100,62.275871
41.5,100,63.676262
39.4,100,64.554895
30.4,100,65.373313
18.7,100,66.299394
-268.3,100,67.127189
350.465368,64,67.678904
53.3,14,67.792726
-282.3,100,68.626208
18.5,100,69.450701
23.5,100,70.324174
44.1,100,71.129384
34.3,100,71.966262
33.5,100,72.864394
32.7,100,73.713394
22.6,100,74.564601
55.2,23,74.75462
13.1,100,75.523675
-274.5,100,76.243329
67.197968,17,76.369912
-280.3,100,77.139168
-157.713569,100,77.859917
53.9,18,78.003884
-309.2,100,78.734633
-269.2,100,79.45759
-293.8,100,84.576694
53.5,18,84.706862
-343.1,100,85.452006
54.8,16,85.577374
61.706651,16,85.693088
-266.2,100,86.449799
53.1,14,86.552329
-207.3,100,87.296462
11.3,100,88.028379
52.9,12,88.116268
-318.3,100,88.915677
19.2,100,89.673079
-43.7,100,90.433595
19.2,100,91.187308
-188.1,100,91.922275
19.6,100,92.66098
-192.9,100,93.376359
54.8,21,93.537851
15.6,100,94.283529
-213.467428,100,95.054738
13.0,100,95.775667
55.7,31,96.008043
24.7,100,96.735893
70.709373,25,96.931274
57.5,45,97.283243
54.6,29,97.50017
26.9,100,98.245848
15.2,100,99.358255
18.0,100,100.097693
-178.8,100,100.836913
-212.9,100,101.747981
53.3,10,101.832719
53.3,10,101.913617
-326.1,100,102.714852
-320.2,100,103.594675
-47.626543,100,104.449903
-348.1,100,105.343605
-336.2,100,106.287068
-339.8,100,107.187779
-330.9,100,108.100327
13.1,100,108.964914
13.2,100,109.856862
14.4,100,110.728879
20.2,100,111.594673
25.5,100,112.437914
32.2,100,113.325128
36.6,100,114.158664
-354.9,100,115.007504
57.6,16,115.147028
56.2,14,115.271222
-317.7,100,116.136251
56.6,14,116.261343
-233.733027,100,117.529459
-258.786534,100,118.370452
-297.4,100,119.194292
-296.3,100,120.104941
69.066164,16,120.235805
28.0,100,121.11931
49.947794,100,122.012547
-106.1,100,122.887366
26.7,100,123.80072
19.5,100,124.700005
-161.2,100,125.600218
-236.531717,100,126.480028
-131.5,100,127.336499
-114.757979,100,128.178291
13.381116,100,129.00624
-164.32274,100,129.859688
41.291788,100,130.704185
-152.4,100,131.491739
-238.4,100,132.244439
-300.6,100,132.984273
32.1,100,133.738157
-327.033552,100,134.895913
-312.6,100,135.662091
114.957669,100,136.460295
127.912347,100,137.264406
332.106858,100,138.065679
95.67163,100,138.853149
104.385303,100,139.680725
-191.184711,100,140.482714
