#{"t_start": 1770593146.3433673, "env_id": "AdroitHandRelocate-v1"}
r,l,t
42.2,100,2.882966
38.6,100,2.960186
43.1,100,3.03218
43.8,100,3.103222
43.9,100,3.180206
43.2,100,3.255459
43.1,100,3.329408
42.5,100,3.403492
37.7,100,3.483251
45.5,100,3.560505
45.1,100,4.920094
44.8,100,5.780869
49.1,100,6.609504
49.0,100,7.397556
48.5,100,8.170462
48.2,100,9.053942
48.1,100,9.83537
47.2,100,10.781797
45.7,100,11.677465
43.4,100,12.436542
27.7,100,14.797903
29.7,100,15.685371
56.7,23,15.913071
56.6,19,16.086424
73.018118,100,16.975369
107.859743,24,17.170897
70.183791,20,17.332798
63.875125,19,17.490412
-218.5,100,18.352028
21.2,100,19.174525
85.664261,100,20.002782
34.3,100,20.733743
43.2,100,21.593919
47.4,100,22.396899
38.6,100,23.119465
94.463019,20,23.280298
-137.877445,100,24.156822
32.8,100,24.993692
34.1,100,25.759784
56.8,19,25.901215
26.8,100,26.915561
31.7,100,27.717058
44.3,100,28.465573
46.2,100,29.2806
48.6,100,30.058417
48.1,100,31.175872
48.6,100,32.003429
46.9,100,32.854031
46.7,100,33.616069
48.5,100,34.3727
46.9,100,35.225922
46.9,100,36.016337
47.4,100,36.833916
46.5,100,37.663049
46.5,100,38.519315
48.3,100,39.287229
46.0,100,40.128451
44.9,100,40.895958
27.4,100,41.643107
47.829706,100,42.576409
46.4,100,43.425208
34.2,100,44.212059
27.0,100,45.122846
46.6,100,45.911949
47.1,100,46.773002
43.6,100,47.962887
30.0,100,48.741585
21.8,100,49.631001
68.982102,18,49.779125
56.1,19,49.937648
36.315156,100,50.72095
118.045324,24,50.906909
28.1,100,51.738929
26.9,100,52.528542
24.7,100,53.381871
57.4,19,53.532703
57.1,18,53.675315
112.839268,100,54.453271
-34.75962,100,55.258341
22.0,100,56.109735
23.5,100,56.924323
23.9,100,57.711787
24.4,100,58.575017
95.964957,22,58.797132
22.0,100,59.711775
19.4,100,60.505277
-277.1,100,61.322155
-21.9,100,62.241059
22.1,100,63.097151
33.6,100,63.957149
-113.9,100,65.162002
65.632102,100,66.045178
107.18285,24,66.262525
19.9,100,67.158786
107.674977,100,68.217256
31.5,100,69.084176
43.9,100,69.877215
48.4,100,70.682524
-193.7,100,71.547729
47.4,100,72.401078
48.4,100,73.251996
47.4,100,74.179425
34.7,100,74.994618
44.8,100,75.802983
89.005543,22,75.984856
30.5,100,76.911545
28.7,100,77.754341
-241.8,100,78.599783
-110.348881,100,79.517388
45.6,100,80.269952
-227.4,100,81.011583
45.5,100,82.065072
45.4,100,82.854738
43.8,100,83.617415
44.9,100,84.317407
43.3,100,85.003297
42.1,100,85.771435
78.100917,21,85.926088
36.0,100,86.727549
42.2,100,87.466648
38.2,100,88.260811
39.7,100,89.0161
30.8,100,89.806252
45.1,100,90.630613
20.2,100,91.441214
41.3,100,92.173959
-278.6,100,92.867177
118.908374,100,93.602956
69.8,61,94.163205
120.727676,24,94.335564
114.392194,22,94.498687
69.646618,17,94.628653
100.903089,20,94.791169
165.740779,100,95.498294
56.7,21,95.641815
125.151386,100,96.307563
27.6,100,97.071544
-218.8925,100,98.11603
88.245583,18,98.245196
-232.5,100,99.008213
36.6,100,99.935687
-70.245051,100,100.728579
73.725597,17,100.861513
40.2,100,101.691279
45.6,100,102.522366
-240.254661,100,103.321255
40.4,100,104.15398
48.8,100,105.013368
29.3,100,105.857437
36.7,100,106.706583
47.9,100,107.564818
-89.0,100,108.434629
41.3,100,109.340922
38.7,100,110.215357
48.3,100,111.105633
45.1,100,111.959288
26.9,100,112.77366
17.1,100,113.581814
55.3,21,113.745176
25.9,100,115.029111
21.3,100,115.890233
26.9,100,116.75168
29.1,100,117.592259
55.3,19,117.762513
29.1,100,118.575757
22.5,100,119.38993
41.5,100,120.319671
-143.6,100,121.127279
56.7,22,121.32831
-211.1,100,122.115397
30.0,100,122.912668
29.7,100,123.840607
35.8,100,124.679133
25.6,100,125.517082
47.6,100,126.45056
46.2,100,127.331722
46.2,100,128.227123
-169.3,100,129.135269
29.2,100,130.008034
22.6,100,130.850819
44.3,100,131.612988
29.0,100,132.926221
22.9,100,133.778998
44.4,100,134.597929
31.3,100,135.441178
44.1,100,136.276579
26.7,100,137.144479
33.4,100,137.976562
38.2,100,138.742789
29.7,100,139.524064
118.971385,100,140.37546
31.1,100,141.160019
-215.341221,100,142.042072
24.6,100,142.800434
-269.0,100,143.588211
-313.1,100,144.378297
-339.9,100,145.17399
-288.7,100,146.039333
-284.7,100,146.794689
30.9,100,147.586397
-303.9,100,148.35404
-311.7,100,149.505551
-254.728461,100,150.332435
-218.360598,100,151.254054
-334.3,100,152.052612
-241.090689,100,152.84719
-268.277974,100,153.717392
-299.968307,100,154.496983
-263.494173,100,155.278571
-278.533961,100,156.092027
-294.83351,100,156.882629
-317.6,100,157.743219
-346.4,100,158.522058
-332.0,100,159.335818
-359.5,100,160.12736
-253.245675,100,161.025214
18.5,100,161.824846
-261.879042,100,162.638469
23.2,100,163.43766
24.2,100,164.243736
44.8,100,165.121967
44.3,100,166.430731
44.9,100,167.244069
45.3,100,168.057746
46.9,100,168.928842
-59.4,100,169.76148
-242.4,100,170.577374
-320.4,100,171.399756
-306.8,100,172.312738
-250.818002,100,173.131852
29.2,100,173.970152
-253.513765,100,174.812679
