#{"t_start": 1770594585.9085808, "env_id": "AdroitHandRelocate-v1"}
r,l,t
40.1,100,260.335499
44.5,100,261.201806
39.5,100,262.065222
43.9,100,262.943042
44.1,100,263.817375
43.7,100,264.634826
38.4,100,265.449199
44.4,100,266.374294
-137.3,100,267.200018
42.7,100,268.003688
42.4,100,268.884555
41.4,100,269.674873
40.8,100,270.536113
44.2,100,271.515274
40.8,100,272.3692
43.7,100,273.286443
42.4,100,274.188066
44.0,100,275.049196
42.5,100,275.980382
43.6,100,276.895324
40.2,100,278.127762
37.9,100,278.980843
30.7,100,279.863324
37.8,100,280.86404
35.6,100,281.828904
34.5,100,282.803097
35.0,100,283.715771
37.7,100,284.604497
36.7,100,285.541911
47.5,100,286.431786
23.125887,100,287.42326
44.0,100,288.351139
47.1,100,289.307306
43.7,100,290.293946
42.3,100,291.221875
37.2,100,292.25823
45.0,100,293.27968
32.1,100,294.207858
31.3,100,295.216609
37.5,100,296.15565
36.1,100,297.740048
31.9,100,298.705287
35.5,100,299.741585
40.2,100,300.718308
38.7,100,301.857956
41.3,100,303.375849
-187.4,100,304.957093
-39.1,100,306.385971
34.5,100,307.511489
39.1,100,308.672493
43.8,100,309.691234
43.4,100,310.696016
35.6,100,311.63327
47.7,100,312.659291
44.7,100,313.665015
102.004601,100,314.68198
49.1,100,315.563871
46.0,100,316.471503
49.1,100,317.459705
39.8,100,318.356723
48.8,100,321.023053
42.0,100,322.010846
46.9,100,322.942912
48.2,100,323.855613
47.0,100,324.809704
48.2,100,325.650278
40.4,100,326.493129
38.7,100,327.405512
54.9,13,327.535679
36.7,100,328.430299
38.9,100,329.26018
38.6,100,330.200789
31.0,100,331.138149
46.2,100,332.137416
77.533621,100,333.036822
25.2,100,334.000082
-162.2,100,334.959455
37.0,100,335.793688
41.7,100,336.675807
-104.0,100,337.553787
30.4,100,338.382232
43.8,100,339.633263
39.0,100,340.530435
-80.8,100,341.434844
31.9,100,342.357988
-162.5,100,343.293598
39.4,100,344.210971
23.0,100,345.164433
38.7,100,346.068592
40.8,100,346.947253
36.0,100,347.957156
38.7,100,348.920433
47.5,100,349.864525
30.7,100,350.844769
35.8,100,351.785097
31.4,100,352.747273
39.9,100,353.721505
30.9,100,354.65687
39.4,100,355.615094
-238.7,100,356.488157
-279.5,100,357.392758
-109.799488,100,358.722863
-48.88685,100,359.632723
-35.416739,100,360.625043
-322.8,100,361.545361
153.683537,100,362.486818
-31.167449,100,363.408433
-315.1,100,364.355084
157.645075,100,365.392693
82.704598,100,366.302367
150.319122,100,367.275893
201.922886,100,368.250394
89.244596,100,369.209071
37.0,100,370.085824
45.7,100,371.004564
38.6,100,371.84544
37.6,100,372.701781
34.5,100,373.588653
30.5,100,374.41491
37.1,100,375.243678
48.2,100,376.122115
-180.6,100,377.538435
-196.1,100,378.367001
48.4,100,379.191973
-172.0,100,379.993326
48.6,100,380.745415
47.1,100,381.732768
48.7,100,382.525934
48.6,100,383.307535
-79.3,100,384.19043
48.6,100,385.02053
47.8,100,385.848176
39.0,100,386.755695
47.3,100,387.514536
45.6,100,388.346393
46.4,100,389.171478
46.6,100,389.987823
45.4,100,390.764217
47.5,100,391.588584
41.5,100,392.326631
48.7,100,393.214259
48.6,100,394.524071
48.6,100,395.473263
48.3,100,396.478938
48.8,100,397.37047
41.8,100,398.309863
23.3,100,399.164944
48.8,100,400.046916
-46.4,100,401.029591
36.6,100,401.872669
-62.3,100,402.701285
48.4,100,403.613139
48.5,100,404.473581
48.7,100,405.353421
48.9,100,406.254915
48.4,100,407.103811
47.5,100,408.035841
46.9,100,408.949443
46.6,100,409.842705
45.0,100,410.77955
45.4,100,411.679638
47.0,100,413.022308
44.0,100,413.989014
-72.7,100,414.9235
47.9,100,415.904375
-48.667066,100,416.813072
48.0,100,417.699928
48.3,100,418.650753
47.0,100,419.538455
48.5,100,420.423693
48.5,100,421.339827
48.8,100,422.133846
48.1,100,422.981048
47.9,100,423.784229
47.6,100,424.556131
46.7,100,425.344284
46.5,100,426.23548
47.3,100,427.071718
47.7,100,427.962929
45.5,100,428.833218
47.2,100,429.663595
48.2,100,430.848158
29.7,100,431.615905
35.9,100,432.366076
48.5,100,433.187487
47.4,100,433.930101
42.6,100,434.682192
41.7,100,435.501578
47.8,100,436.298269
47.0,100,437.071447
-24.7,100,437.907446
48.9,100,438.656693
48.1,100,439.405288
27.6,100,440.159374
47.2,100,441.036941
47.3,100,441.824606
-78.313381,100,442.588689
43.8,100,443.416724
31.2,100,444.175957
-221.5,100,444.935733
43.5,100,445.767843
36.2,100,446.934972
-232.7,100,447.757382
39.3,100,448.638147
39.8,100,449.462736
31.8,100,450.248625
39.5,100,451.22142
44.8,100,452.267379
19.1,100,453.142042
46.9,100,454.097544
48.7,100,454.968849
28.6,100,455.806925
36.0,100,456.822551
26.5,100,457.781956
35.9,100,458.665586
-165.7,100,459.617221
-194.539746,100,460.480735
37.7,100,461.375325
-89.748271,100,462.219654
39.7,100,463.083772
41.6,100,464.014837
48.346302,100,465.216945
28.5,100,466.088997
55.1,15,466.237229
46.3,100,467.129712
34.9,100,468.079032
31.7,100,468.997086
40.6,100,469.879715
36.7,100,470.740057
31.8,100,471.617737
30.1,100,472.44627
-100.117126,100,473.295176
30.6,100,474.241838
43.8,100,475.074672
36.5,100,475.926251
71.128466,100,476.82108
32.5,100,477.701016
32.9,100,478.537766
36.6,100,479.450848
40.0,100,480.261218
34.6,100,481.101437
40.0,100,481.984823
34.1,100,483.178836
42.4,100,484.058594
27.7,100,484.87809
36.8,100,485.723661
39.092925,100,486.606838
79.258574,100,487.441159
57.04197,100,488.321629
39.7,100,489.25446
27.8,100,490.077164
107.261632,100,490.903604
38.510589,100,491.78613
36.7,100,492.616442
31.3,100,493.438142
38.7,100,494.313121
-206.464723,100,495.132363
39.1,100,495.944899
48.8,100,496.843705
27.1,100,497.635672
16.33291,100,498.468176
60.839346,11,498.556318
48.5,100,499.428933
48.8,100,500.774726
48.9,100,501.656453
48.1,100,502.427833
49.0,100,503.216071
48.9,100,503.96637
49.1,100,504.762816
-126.0,100,505.516933
48.9,100,506.283834
48.5,100,507.066283
108.029874,100,507.827629
46.9,100,508.60991
45.6,100,509.419135
-63.732199,100,510.163863
41.2,100,510.9102
-106.7,100,511.728303
39.4,100,512.491506
49.0,100,513.26551
47.4,100,514.093855
48.3,100,514.845694
45.6,100,515.601477
-95.7,100,516.886798
45.3,100,517.702962
45.7,100,518.568766
-75.553753,100,519.375401
44.9,100,520.257203
35.6,100,521.172692
27.4,100,522.063816
31.4,100,522.919017
-94.303555,100,523.825152
39.9,100,524.67744
44.6,100,525.526349
39.3,100,526.439289
-25.5,100,527.277534
43.5,100,528.124989
37.6,100,529.0265
43.3,100,529.847836
47.1,100,530.721774
48.1,100,531.666068
44.6,100,532.52823
44.7,100,533.386374
46.5,100,534.756073
46.3,100,535.661
46.1,100,536.583184
47.9,100,537.45959
33.7,100,538.233591
46.8,100,539.063949
48.9,100,539.83883
48.7,100,540.606454
47.7,100,541.378358
48.4,100,542.206322
37.6,100,542.959553
-7.9,100,543.726125
48.6,100,544.629294
48.9,100,545.386282
25.6,100,546.195718
70.849549,100,547.039834
37.5,100,547.848616
33.6,100,548.662985
63.969502,100,549.493966
38.5,100,550.28481
43.6,100,551.435816
11.1,100,552.276164
-225.72719,100,553.038526
46.5,100,553.844119
45.3,100,554.768925
7.6,100,555.556293
46.4,100,556.323807
38.1,100,557.105706
48.3,100,557.919006
47.9,100,558.665585
30.0,100,559.481265
46.0,100,560.311557
46.8,100,561.08862
45.7,100,561.836813
46.6,100,562.643552
46.7,100,563.401788
46.0,100,564.157028
45.3,100,564.972517
45.1,100,565.719166
46.7,100,566.470469
48.9,100,567.673853
42.9,100,568.491691
40.5,100,569.377906
46.6,100,570.24955
