#{"t_start": 1770631167.9698179, "env_id": "AdroitHandRelocate-v1"}
r,l,t
10.6,100,1.801032
21.0,100,1.891982
5.7,100,1.977005
27.2,100,2.073984
145.557137,100,2.165296
27.4,100,2.25596
25.7,100,2.422565
26.8,100,2.542317
1.8,100,2.630821
30.6,100,2.718369
28.8,100,4.105699
29.9,100,5.202238
-20.3,100,6.340654
-22.7,100,7.263541
15.3,100,8.223727
13.8,100,9.043123
39.1,100,9.863657
35.5,100,10.643693
36.8,100,11.410959
30.9,100,12.298086
29.0,100,13.551788
33.4,100,14.336761
39.6,100,15.076291
39.8,100,15.848714
39.4,100,16.665155
33.5,100,17.442074
39.8,100,18.180856
27.0,100,18.894087
37.1,100,19.622869
39.6,100,20.338847
38.7,100,21.115774
34.1,100,21.863213
-173.416524,100,22.621783
28.0,100,23.332184
37.2,100,24.044427
37.2,100,24.761806
37.4,100,25.486838
34.6,100,26.194384
14.0,100,26.916433
25.4,100,27.67674
39.4,100,28.787002
-140.1,100,29.516054
-236.8,100,30.261654
27.4,100,30.963864
37.0,100,31.700073
-331.0,100,32.496671
38.8,100,33.211895
38.5,100,33.926295
38.0,100,34.644664
39.7,100,35.369484
39.0,100,36.119095
38.5,100,36.865383
15.8,100,37.609885
5.1,100,38.31854
14.8,100,39.033114
26.8,100,39.774627
30.5,100,40.521095
31.7,100,41.263276
37.4,100,41.972999
29.2,100,42.701792
38.1,100,43.759693
37.9,100,44.473659
23.0,100,45.185886
25.1,100,45.950404
33.4,100,46.776973
30.4,100,47.621877
33.3,100,48.465651
39.9,100,49.305621
38.7,100,50.135288
39.8,100,50.990813
38.5,100,51.79424
38.6,100,52.700436
88.29895,100,53.596372
-322.2,100,54.522224
-296.0,100,55.474217
31.2,100,56.409732
-221.6,100,57.346375
392.817304,100,58.258407
39.9,100,59.176753
29.6,100,60.051963
23.0,100,61.507847
36.4,100,62.422037
29.4,100,63.27433
34.5,100,64.119545
-294.337243,100,64.923788
-241.803664,100,65.740565
-294.0,100,66.558001
35.1,100,67.394102
36.2,100,68.224153
29.2,100,69.031313
35.6,100,69.915179
35.8,100,70.798631
22.6,100,71.695082
34.2,100,72.557765
29.5,100,73.421043
33.0,100,74.305825
34.3,100,75.213637
36.4,100,76.022143
12.1,100,76.756166
12.8,100,77.501186
433.5024,100,82.71374
36.4,100,83.582476
25.5,100,84.346995
228.994257,100,85.12801
1144.17489,77,85.744414
-25.750392,100,86.472082
31.9,100,87.24912
-25.061542,100,88.014301
103.905568,100,88.863902
31.9,100,89.682261
27.0,100,90.382693
18.0,100,91.132734
-281.3,100,91.900868
13.8,100,92.641972
16.8,100,93.389024
37.1,100,94.154427
27.3,100,94.915553
-28.002046,100,95.651039
-357.8,100,96.404658
-343.7,100,97.146748
-369.1,100,98.257463
-196.425507,100,98.98994
526.629823,13,99.103796
-24.35098,100,99.83782
33.7,100,100.6244
31.2,100,101.389838
32.7,100,102.107815
29.9,100,102.854098
32.5,100,103.617714
29.8,100,104.370955
39.0,100,105.125471
546.030336,10,105.200549
129.703564,100,105.98471
30.6,100,106.799565
637.879117,100,107.728984
7.481681,100,108.529462
-68.142944,100,109.400829
46.786263,100,110.274628
-60.058053,100,111.15161
-76.083378,100,111.933848
-119.516785,100,112.803958
513.277553,7,112.876042
545.915519,10,112.972409
501.8,6,113.034934
524.516478,8,113.11525
-131.718752,100,114.398116
-144.28245,100,115.259619
39.0,100,116.073938
36.5,100,116.914639
37.4,100,117.77835
37.7,100,118.615385
557.138011,11,118.703337
586.957167,14,118.84436
-112.187824,100,119.649617
-185.369506,100,120.495009
503.5,12,120.598594
504.5,13,120.732778
503.4,13,120.855439
556.493147,12,120.948864
-160.450525,100,121.823193
-254.1,100,122.661521
8.271332,100,123.517347
502.7,8,123.589972
514.322939,9,123.674249
502.3,7,123.742115
49.176419,100,124.628947
501.9,6,124.68826
556.670504,13,124.812027
525.276685,9,124.906088
557.30466,12,125.005896
-7.286323,100,125.858052
126.308325,100,126.773345
524.891985,9,126.865778
-82.858084,100,127.715586
524.704349,8,127.790195
74.622862,100,128.674007
501.8,6,128.739558
-245.134207,100,129.547405
-104.471884,100,130.385845
-53.613262,100,131.195599
501.8,6,131.25565
-102.23075,100,132.494336
557.547079,12,132.604199
513.302121,7,132.669257
513.267063,7,132.744248
271.918645,100,133.650869
312.974581,100,134.579291
524.575722,8,134.662411
-26.589079,100,135.587085
104.850041,100,136.342116
501.8,6,136.389935
309.117821,100,137.237245
-106.88135,100,138.082711
-144.511942,100,138.934793
-85.746427,100,139.798475
-102.04307,100,140.641873
-100.275349,100,141.444506
-12.557674,100,142.283212
-80.432644,100,143.082279
-213.857475,100,143.801355
524.916939,9,143.939871
-115.757802,100,144.642269
17.516342,100,145.376502
23.108942,100,146.08219
-317.0,100,146.804682
-228.649604,100,147.498921
-355.8,100,148.578589
-277.108171,100,149.318516
-90.999545,100,150.064095
514.190631,9,150.136933
-53.729552,100,150.922227
569.879626,17,151.067262
-49.226512,100,151.811214
-90.458851,100,152.569701
-105.304235,100,153.306752
257.428205,100,154.055471
-46.693686,100,154.81818
-297.712298,100,155.651404
526.837864,14,155.763756
21.9,100,156.52379
231.193097,100,157.293612
-329.8,100,158.134929
19.3,100,158.847028
28.6,100,159.557519
31.9,100,160.311606
31.3,100,161.033047
