#{"t_start": 1770633665.1110651, "env_id": "AdroitHandRelocate-v1"}
r,l,t
78.071392,100,1.390461
33.2,100,1.463262
169.696755,100,1.534217
72.491262,100,1.608938
30.530754,100,1.684954
32.8,100,1.780996
28.7,100,1.860654
4.7,100,1.92479
13.4,100,1.996097
-1459.382563,100,2.061851
33.5,100,3.0822
-874.376192,100,3.878426
72.252865,100,4.639021
56.828854,100,5.44054
101.285331,100,6.267867
11.8,100,7.05453
165.595213,100,7.818315
-126.622917,100,8.650203
42.741756,100,9.509622
-530.587158,100,10.375559
33.0,100,11.725892
32.981782,100,12.574702
19.9,100,13.455185
25.4,100,14.344881
98.542216,100,15.204684
39.5,100,16.131784
35.7,100,16.969072
31.425403,100,17.794101
32.7,100,18.634315
28.0,100,19.452319
31.2,100,20.277237
21.961586,100,21.167328
27.0,100,22.037633
-1056.355575,100,22.849417
40.664419,100,23.675157
18.6,100,24.513503
36.135926,100,25.423086
25.5,100,26.288523
179.653242,100,27.160478
49.135297,100,28.062101
27.7,100,29.368698
39.3,100,30.222259
38.4,100,31.10862
37.9,100,31.996527
20.9,100,32.869305
-217.723426,100,33.713826
15.6,100,34.551864
15.1,100,35.392878
10.6,100,36.261091
31.896405,100,37.080854
35.7,100,37.933061
34.3,100,38.701581
17.7,100,39.414821
44.479541,100,40.19178
60.477396,100,40.940767
32.4,100,41.719218
-807.935424,100,42.508351
-176.1266,100,43.297561
764.162819,100,44.096967
517.459976,100,44.846442
-925.51382,100,46.021438
66.716333,100,46.764375
21.1,100,47.544217
14.0,100,48.289309
19.3,100,49.019436
11.6,100,49.737659
299.639842,100,50.461349
32.3,100,51.2253
15.1,100,52.026738
14.9,100,52.843711
268.812984,100,53.581249
24.6,100,54.302992
68.207258,100,55.028378
93.584646,100,55.789805
50.304008,100,56.533885
29.547718,100,57.414192
28.044404,100,58.221797
44.948928,100,59.067668
177.668636,100,60.027374
265.195498,100,60.845163
17.486903,100,62.311637
-1125.874981,100,63.144436
183.567747,100,63.89586
22.5,100,64.60442
29.054944,100,65.317345
27.034717,100,66.027482
75.354529,100,66.732582
25.2,100,67.43899
538.528049,18,67.575561
61.056416,100,68.30268
15.5,100,69.217507
101.327495,100,70.025255
266.019819,100,70.785009
38.3,100,71.624515
203.597825,100,72.459911
39.3,100,73.352827
38.3,100,74.185792
34.3,100,75.066866
36.7,100,75.858
38.0,100,76.689545
38.4,100,82.388113
15.2,100,83.257457
15.7,100,84.001492
18.9,100,84.786975
-997.67495,100,85.603432
56.114716,100,86.408962
19.013982,100,87.228298
-1288.157123,100,88.017709
58.233221,100,88.897983
546.920262,19,89.04162
93.277365,100,89.83113
522.37755,9,89.906885
48.488646,100,90.721462
588.895113,14,90.84994
-546.324246,100,91.719281
-86.888892,100,92.567438
8.1,100,93.455531
-979.076663,100,94.255758
-1021.291739,100,95.117274
-629.120702,100,95.956787
18.5,100,96.814687
19.6,100,97.661173
13.8,100,98.441617
-382.507927,100,99.61935
313.952254,100,100.411132
720.411638,22,100.588695
-1009.411352,100,101.364618
6.6,100,102.183948
-1485.841479,100,102.968307
18.5,100,103.860424
541.553737,14,103.979403
-536.125794,100,104.738384
43.496195,100,105.512082
25.522135,100,106.276839
25.8,100,107.03182
43.025292,100,107.853336
23.930512,100,108.644076
44.848528,100,109.509576
72.481167,100,110.3734
20.2,100,111.190837
25.3,100,112.070379
522.610443,16,112.23168
534.050655,16,112.373207
37.203291,100,113.228297
528.366491,11,113.335919
27.2,100,114.209238
541.180972,12,114.304136
62.050271,100,115.097177
69.90005,100,116.278672
-1393.816226,100,117.06877
70.728202,100,117.847317
189.912924,100,118.666945
552.937367,18,118.828861
122.60645,100,119.669975
157.9787,100,120.499611
57.73762,100,121.295584
571.255572,19,121.461809
34.849463,100,122.340341
-1221.822241,100,123.242952
49.428414,100,124.166993
-1140.316116,100,125.057168
523.990495,10,125.153831
53.65688,100,126.022619
-587.249384,100,126.887797
546.021689,16,127.047829
562.814519,17,127.223825
-18.856743,100,128.190513
533.072387,14,128.31977
18.6,100,129.301948
34.461217,100,130.218075
271.461807,100,131.053037
565.826471,19,131.216844
41.784217,100,132.058468
344.47036,100,132.903408
11.793155,100,134.079339
11.5,100,134.915259
137.18131,100,135.661216
94.708529,100,136.409479
-340.971502,100,137.168546
25.535659,100,137.932699
-582.874973,100,138.723708
356.798703,100,139.520327
32.1,100,140.331927
37.960977,100,141.199481
39.633846,100,141.964261
76.298481,100,142.744169
-415.165357,100,143.528983
522.045855,19,143.681406
37.876474,100,144.546065
24.3,100,145.504284
82.649654,100,146.271748
-396.843064,100,147.011813
-1130.909713,100,147.798442
87.666743,100,148.580851
138.487341,100,149.372854
-117.641065,100,150.68394
50.603284,100,151.569369
206.001315,100,152.484198
48.026766,100,153.346608
156.856428,100,154.230449
80.172471,100,155.10665
30.8,100,155.936992
22.331919,100,156.721366
82.004553,100,157.527319
518.603197,13,157.637414
26.2,100,158.404897
48.247106,100,159.155016
13.2,100,159.908489
50.339563,100,160.754157
49.362562,100,161.569306
16.307584,100,162.422394
-1028.362159,100,163.411668
76.74626,100,164.302764
25.4,100,165.180157
60.564494,100,166.098207
-667.229692,100,166.937588
533.793394,19,172.627852
228.053697,100,173.492574
128.507586,100,174.346686
23.8,100,175.20266
21.3,100,176.05483
53.428432,100,176.896118
63.711829,100,177.724278
26.7,100,178.615575
25.9,100,179.431489
25.0,100,180.305408
24.9,100,181.123466
117.114195,100,181.942443
24.1,100,182.703995
18.0,100,183.487337
278.595526,100,184.257082
-203.602514,100,185.048441
49.825113,100,185.824594
1004.891485,50,186.220588
620.878619,100,187.008301
-470.881843,100,187.784453
534.65923,100,188.601921
-746.381968,100,189.895612
-171.050809,100,190.822645
-1234.31237,100,191.678262
580.555443,11,191.799104
-1335.535608,100,192.786051
36.764722,100,193.674886
-1186.728294,100,194.596192
-1368.307734,100,195.493706
21.1,100,196.332534
-496.418301,100,197.181724
-819.241697,100,198.011338
294.763272,100,198.854809
-197.154996,100,199.734071
-251.079552,100,200.521778
-835.478721,100,201.307121
-282.947234,100,202.158883
12.6,100,202.977287
-35.061548,100,203.843255
27.0,100,204.707542
-1002.595261,100,205.678533
22.0,100,206.649279
17.9,100,208.089292
21.0,100,208.985572
23.0,100,209.868717
35.4,100,210.724226
37.565167,100,211.640124
32.7,100,212.53453
25.9,100,213.389935
32.5,100,214.270981
25.6,100,215.108065
63.131349,100,215.923707
166.738751,100,216.792701
278.123975,100,217.62647
19.0,100,218.460914
7.7,100,219.205076
10.7,100,219.942813
13.0,100,220.744775
15.6,100,221.560107
12.2,100,222.385446
9.8,100,223.170844
79.383055,100,223.965275
20.6,100,225.182751
-1375.11577,100,226.039363
1.1,100,226.891997
27.7,100,227.777269
