#{"t_start": 1770634661.788155, "env_id": "AdroitHandRelocate-v1"}
r,l,t
31.8,100,2.52688
171.567633,100,2.675644
33.4,100,2.802387
33.1,100,2.94898
24.0,100,3.092384
30.5,100,3.240212
32.2,100,3.380717
120.450591,100,3.505855
27.3,100,3.650849
27.1,100,3.768903
26.5,100,5.489697
28.6,100,6.829973
37.0,100,8.358256
33.6,100,9.882319
93.358161,100,11.510527
34.2,100,13.181153
31.46451,100,14.672112
24.4,100,16.110301
30.0,100,17.648173
34.5,100,19.272465
55.243031,100,21.46603
93.604176,100,23.022187
111.433647,100,24.722912
36.3,100,26.243221
282.387878,100,27.717376
26.8,100,29.264356
25.4,100,30.72755
20.4,100,32.20852
13.1,100,33.631547
10.8,100,35.243183
34.5,100,36.747264
182.084345,100,38.11548
202.115013,100,39.61602
229.427174,100,41.167897
38.6,100,42.73549
69.076893,100,44.107248
20.4,100,45.603903
20.6,100,46.96894
118.744708,21,47.353978
11.7,100,48.752268
90.689783,20,49.02789
59.288397,18,49.269053
129.749571,20,49.526036
87.360706,19,49.788983
152.529688,22,50.801928
135.108122,20,51.040009
38.009861,100,52.457934
105.2491,21,52.718421
26.0,100,54.174106
32.708153,14,54.335619
24.0,100,55.70599
26.1,100,57.052256
114.375674,22,57.391444
127.44518,20,57.645624
13.1,100,58.973073
119.272596,22,59.308892
10.9,100,60.685512
103.537676,20,60.958907
122.976094,21,61.239554
112.400178,21,61.551108
170.537134,25,61.884636
97.209974,19,62.123612
6.0,100,63.510405
20.6,100,64.822153
144.444345,24,65.241244
83.533937,20,65.55373
104.303754,21,65.818455
102.07412,20,66.060421
171.855832,27,66.439467
104.619622,20,66.683187
156.298086,24,66.985736
57.718054,18,67.236399
32.552197,16,67.454012
134.996605,24,67.743804
261.216284,100,69.005913
25.2,100,70.347487
19.8,100,71.559207
13.7,100,72.767393
18.8,100,73.98712
21.0,100,75.274439
32.8,100,76.467419
23.6,100,78.023272
2.5,100,79.372155
0.731026,14,79.579541
191.79166,27,79.93316
0.1,100,81.53944
28.8,100,82.824429
26.2,100,84.15825
11.0,100,85.46065
3.8,100,86.676202
30.8,100,87.779411
27.5,100,89.199199
29.1,100,90.507281
156.123416,100,91.805354
31.0,100,93.135931
32.6,100,94.422087
30.6,100,95.716311
31.9,100,97.08556
140.062722,100,98.364201
31.8,100,99.657213
189.360122,100,101.041244
30.4,100,102.412954
28.4,100,103.707984
31.3,100,105.611371
32.5,100,107.030635
31.9,100,108.406099
32.7,100,110.007065
31.8,100,111.367425
32.0,100,112.834735
35.3,100,114.427047
84.928444,100,116.943215
39.9,100,118.980903
39.9,100,120.672179
57.288004,17,121.012272
32.7,100,122.927556
16.8,100,124.563799
13.5,100,126.162575
13.8,100,127.766629
15.8,100,129.480046
15.1,100,131.579005
20.990395,15,131.881783
10.2,100,133.576481
12.4,100,135.386637
23.914712,100,136.789722
12.8,100,145.547349
15.2,100,146.890483
14.4,100,148.155441
13.4,100,149.602522
138.229796,22,149.893825
143.352812,21,150.201808
189.53612,23,150.525036
126.254004,22,150.809387
159.223303,24,151.155581
196.540804,27,151.526831
111.976473,21,151.85102
90.856402,19,152.1061
83.547537,17,152.352181
192.879835,23,152.739274
91.797265,18,153.071201
95.781615,20,153.452437
149.882982,24,153.877289
66.161111,17,154.128048
16.3,100,155.913011
12.5,100,157.463971
12.6,100,158.906179
10.3,100,160.289786
15.7,100,161.62202
15.8,100,162.967845
15.7,100,164.271089
18.4,100,165.627073
19.1,100,167.022082
18.1,100,168.430704
128.3746,22,168.758833
165.577809,27,169.147513
139.138393,22,169.446356
146.020475,22,169.746612
105.730799,21,170.109284
12.5,100,171.50198
61.187135,17,171.746317
216.920164,27,172.122957
14.43454,100,173.555225
139.325664,23,174.547734
119.314517,21,174.802335
94.228036,20,175.039665
143.359924,22,175.313726
151.008568,26,175.603079
129.664041,23,175.87655
117.017248,21,176.123022
144.74425,25,176.50964
140.165642,22,176.776825
91.815017,17,177.017955
257.748242,30,177.401875
105.414575,19,177.674026
131.944366,22,177.951042
116.113605,21,178.2145
119.331265,21,178.50599
38.792793,16,178.72314
62.593228,17,178.955924
84.867175,19,179.235538
58.120973,18,179.481181
109.754695,21,179.797779
192.834837,25,180.122772
93.662815,21,180.376044
98.90477,21,180.676262
61.613153,18,180.926297
175.548638,25,181.239911
103.458223,21,181.564647
171.085645,25,181.939774
105.64521,19,182.205083
106.940832,21,182.497979
64.116107,18,182.731264
15.9,100,184.035426
18.2,100,185.447208
11.1,100,186.797173
15.1,100,188.139838
16.2,100,189.446443
13.963714,100,190.866651
16.2,100,192.237802
9.2,100,193.568532
12.9,100,194.926259
9.1,100,196.49614
13.3,100,198.15732
14.5,100,199.766612
20.932981,100,201.260859
18.1,100,203.63255
15.3,100,205.043498
28.982533,100,206.400424
12.7,100,208.127426
64.864494,18,208.452037
13.9,100,209.821956
15.5,100,211.214283
12.7,100,212.576346
107.696503,21,212.902127
116.814037,21,213.180118
89.52181,19,213.467686
106.257367,20,213.825534
